Program Name,Category,Agency Name,Bureau Name,Funding Amount,Funding Amount Notes,Period of Availability,Funding Mechanism,New Program (Yes/No),Recipients,Program Description,Eligible Uses,Next Program Milestone,sam.gov link,Statutory Location,Federal Cost Share Requirement
High-Visibility Enforcement,Safety,Department of Transportation,National Highway Traffic Safety Administration,"$201,600,000",,4 year,Contract,No,Businesses (other than small businesses) and Nonprofits with 501(c)(3),"Under 23 U.S.C. 404, the National Highway Traffic Safety Administration carries out national traffic safety campaigns to reduce alcohol-impaired or drug-impaired driving and to increase the use of seatbelts.",N/A,$26.4M To be obligated on a new task order in May 2022 for alcohol- and drug-impaired campaigns in Winter 2022,https://sam.gov/fal/2a5b6dc7b6984e16b8a60771e4a1c80e/view,24101; 24104,No non-Federal cost share required
Highway Research & Development Program,"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$310,000,000",,Available until expended,Grant,No,Varies.,"The Highway Research and Development Program performs research and development to produce transformative solutions to improve safety, foster innovation, accelerate projects, and better meet operations, policy, and infrastructure needs.","The programs under the Federal Highway Administration’s research and development portfolio cover exploratory advanced research, applied research and development, and initial testing of technological solutions that address emerging needs and support the infrastructure of the future. Federal Highway Administration’s research programs seek to improve safety, reduce congestion, enhance infrastructure design and construction, and provide data and analyses to decision-makers throughout the transportation community.",To be determined,https://sam.gov/fal/cad57bdb646f4294a628ff138d61bbc0/view,11101,80 percent Federal / 20 percent non-Federal
Highway Safety Improvement Program,Safety,Department of Transportation,Federal Highway Administration,"$15,557,499,996",,4 year,Grant,No,States (including District of Columbia),The Highway Safety Improvement Program provides States with critical safety funding that is used to save lives and prevent serious injuries on all public roads. The Highway Safety Improvement Program is based on a performance-driven process that identifies and analyzes highway safety problems and advances highway safety improvement projects that have the greatest potential to reduce fatalities and serious injuries.,Safety projects on all public roads.,Additional Round of Funding Allocated / Selections Announced in Fall 2022,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11101; 11111,90 percent Federal / 10 percent non-Federal
Highway Safety Programs,Safety,Department of Transportation,National Highway Traffic Safety Administration,"$1,992,000,000",,4 year,Formula Grant,No,"States, the Secretary of Interior for the Tribes, the District of Columbia, Puerto Rico, American Samoa, Guam, Commonwealth of the Northern Mariana Islands, and the U.S. Virgin Islands.","Section 402 funds are authorized by Congress and are available to the 50 States, the District of Columbia, Puerto Rico, the U. S. Territories and the Bureau of Indian Affairs. These funds are apportioned using statutory apportionment formula. These funds are provided to the State and Territorial Highway Safety Offices based on an approved highway safety plan that details problem identification, performance measures, countermeasures and projects using identified countermeasures to help reduce crashes, injuries and fatalities resulting from motor vehicle crashes.",To be specified in the implementing regulation.,NHTSA Formula Grant Program Notice of Proposed Rulemaking (NPRM) in Fall 2022,https://sam.gov/fal/2a5b6dc7b6984e16b8a60771e4a1c80e/view,24101; 24102,"80 percent Federal / 20 percent non-Federal (except for American Samoa, Guam, Northern Marianas, and the Virgin Islands = 100 percent Federal share)"
Highway Safety Research & Development,Safety,Department of Transportation,National Highway Traffic Safety Administration,"$970,000,000",,4 year,"Grants, Cooperative Agreements, Contracts",No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally recognized), Tribal Governments (other than Federally recognized), Independent School Districts, Public Higher-Ed Institutions, Private Higher-Ed Institutions, Nonprofits with 501(c)(3) status, Nonprofits - without 501(c)(3) status, Small Businesses, Businesses (other than small businesses), and / or Individuals","The Highway Safety Research and Development program is authorized under 23 U.S.C. 403. Research and development activities with respect to (1) highway and traffic safety systems and conditions, (2) human behavioral factors and their effect on highway and traffic safety, (3) evaluation of the effectiveness of countermeasures to increase highway and traffic safety, (4) development of technologies to detect drug impaired drivers, (5) driver education programs, State laws on highway and traffic safety; Cooperative research and evaluation to research and evaluate priority highway safety countermeasures; Collaborative research on in-vehicle technology to prevent alcohol-impaired driving; Education campaign to reduce incidence of vehicular heatstroke of children; Grant program to develop and implement State processes for informing consumers of recalls; and Evaluation of innovative highway safety countermeasures.",TBD via Notice of Funding Opportunity,Cooperative Agreement Award announcement in Winter 2022,https://sam.gov/fal/178484207a4a4818883713eee525201e/view,24101; 24103,Up to 100 percent Federal
Highway Use Tax Evasion Projects,"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$20,000,000",,4 year,"Competitive Grant, Allocation",No,"States, Internal Revenue Service","The Highway Use Tax Evasion Projects program provides funding to the Internal Revenue Service and the States to carry out intergovernmental enforcement efforts, along with training and research, to reduce evasion of payment of motor fuel and other highway use taxes, which are the principal sources for Federal and State highway funding.","Intergovernmental enforcement efforts, along with training and research, to reduce evasion of payment of motor fuel and other highway use taxes.",First Round of Funding Allocated / Selections Announced in Fall 2022,https://sam.gov/fal/50471f650c3c4bb6a74b40c151b0381a/view,11120,No non-Federal cost share required
Hydroelectric Production Incentives,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$125,000,000",,Available until expended,Incentive Payment,No,Non-Federal owners of qualified hydroelectric or marine energy facilities,"Provides incentive payments for electric energy generated and sold by a qualified hydroelectric facility during the incentive period, to the owner or authorized operator of such a facility. Incentive payments for qualified facilities are based on the number of kilowatt-hours (kWh) generated in calendar year which Department of Energy determines, at a rate of 1.8 cents/kWh with a total ceiling of $1 million per facility","Incentive payments are provided based on determination of a qualified facility. A qualified hydroelectric facility is a hydroelectric generation facility that:
- is located in a State or in U.S. jurisdictional waters;
- has a water-powered turbine or other generating device (including conventional or new and innovative technologies capable of continuous operation);
- is owned or solely operated by a non-Federal entity;
- began producing hydroelectric energy for sale on or after October 1, 2005; and
that either:
- added generation capability, excluding maintenance, through the incorporation of new equipment, refurbished equipment, or both to an existing dam or conduit that was completed before November 15, 2021;
or,
- has a generating capacity of not more than 20 megawatts;
- for which the non-Federal entity has received a construction authorization from the Federal Energy Regulatory Commission, if applicable; and
- that is constructed in an area in which there is inadequate electric service.",NOI Released in Q4 2022,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,40331,Not applicable
"Hydropower Research, Development, and Demonstration",Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$36,000,000",,Available until expended,TBD,No,"Industry, National Labs, academia, other","To fund research, development, and demonstration activities to improve hydropower technologies.","Research, development, demonstration, and commercial application for technologies that improve the capacity, efficiency, resilience, security, reliability, affordability, and environmental impact, including potential cumulative environmental impacts, of hydropower systems.",FOA Open in Q3 2022,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,41006,N/A
Indian Health Service Sanitation Facilities Construction Program,Water,Department of Health and Human Services,Indian Health Service,"$3,500,000,000","The law makes $700,000,000 available per year from 2022-2026.",Available until expended,"Indian Self-Determination and Education Assistance Act Agreements, Direct Federal Spending",No,Federally recognized Tribal governments.,"To support the Indian Health Service mission, the Sanitation Facilities Construction Program provides technical and financial assistance to American Tribes and Alaska Native villages for the cooperative development and construction of safe drinking water supply, sewage, and solid waste disposal facilities, and related support facilities. The bill includes a maximum 3 percent ($21 million) set-aside for salaries, expenses, and administration each year. These funds are limited to Federal costs only. It also directs 0.5 percent ($3.5 million) each year to the Depart of Health and Human Services Office of the Inspector General for oversight of these funds. Additionally, the bill directs the Indian Health Service to use up to $2.2 billion of the $3.5 billion appropriation on economically infeasible projects. Economically infeasible projects are those that exceed a per unit cost set for each Indian Health Service Area, and three different regions within the Indian Health Service Alaska Area.",Provision of domestic and community sanitation facilities for Indians.,To be determined,,"Division J, Title VI","Non-eligible activities include the cost to serve non-Tribal homes, commercial, industrial, agricultural establishments, nursing homes, health clinics, schools, and hospital quarters. These costs are considered ineligible for Indian Health Service Sanitation Facilities Construction project funding. Tribal communities with non-eligible activities can use their own resources, or leverage other Federal, State, and local funding sources to support the full scope of their projects"
Indian Water Rights Settlements,Water,Department of the Interior,Bureau of Indian Affairs,"$2,500,000,000",,Available until expended,Contract/Compact/Trust Fund,No,Tribal Governments - Recognized,"To satisfy Federal obligations under Indian water rights settlement enacted as of November 15, 2021.","Transfer to funds or accounts authorized to receive discretionary appropriations or to satisfy other obligations identified by the Secretary of the Interior, under an Indian water settlement approved and authorized by an Act of Congress before the date of enactment of this Act.",Additional Round of Funding Allocated / Selections Announced in December 2022,,70101,
Industrial Emission Demonstration Projects,Clean Energy and Power,Department of Energy,Office of Clean Energy Demonstrations,"$500,000,000",,Available until expended,"Grant, Cooperative Agreement, or Other",Yes,"Technology Developers, Industry, Manufacturers, Universities, National Laboratories, Engineering and Construction firms, State and Local Governments, Environmental Groups, and Community Based Organizations.",To fund demonstration projects that test and validate technologies that reduce industrial emissions.,"Industrial production processes, including technologies and processes that (A) achieve emissions reduction in high emissions industrial materials production processes, including production processes for iron, steel, steel mill products, aluminum, cement, concrete, glass, pulp, paper, and industrial ceramics; (B) achieve emissions reduction in medium- and high-temperature heat generation; (C) achieve emissions reduction in chemical production processes, including by incorporating, if appropriate and practicable, principles, practices, and methodologies of sustainable chemistry and engineering; (D) leverage smart manufacturing technologies and principles, digital manufacturing technologies, and advanced data analytics to develop advanced technologies and practices in information, automation, monitoring, computation, sensing, modeling, and networking; (E) leverage the principles of sustainable manufacturing to minimize the potential negative environmental impacts of manufacturing while conserving energy and resources; (F) increase the energy efficiency of industrial processes",FOA Open in Q4 2022,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,41008,TBD
Industrial Research and Assessment Center Implementation Grants,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$400,000,000",,Available until expended,Grant,Yes,Small- and medium-sized manufacturers,"To fund upgrades for small- and medium-sized manufacturers that have been recommended in an assessment from an Industrial Assessment Center, Combined Heat and Power Technical Assistance Partnership, or an approved third-party performing an equivalent assessment.",For eligible small- and medium-sized manufacturers to (i) improve energy efficiency; material efficiency; cybersecurity; or productivity; or reduce waste production; greenhouse gas emissions; or non-greenhouse gas pollution.,FOA Open in Q1 2023,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,40521,50 percent
Industrial Research and Assessment Centers,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$150,000,000",,Available until expended,Grant,No,"Institutions of Higher Education, Community College, Trade School, Or Union Training Program",To provide funding for institutions of higher education-based industrial research and assessment centers to identify opportunities for optimizing energy efficiency and environmental performance at manufacturing and other industrial facilities.,"To provide in-depth assessments of small- and medium-sized manufacturing plant sites to evaluate the facilities, services, and manufacturing operations of the plant sites; to identify opportunities for optimizing energy efficiency and environmental performance, including implementation of— (i) smart manufacturing; (ii) energy management systems; (iii) sustainable manufacturing; (iv) information technology advancements for supply chain analysis, logistics, system monitoring, industrial and manufacturing processes, and other purposes; and (v) waste management systems; to promote applications of emerging concepts and technologies in small- and medium-sized manufacturers (including water and wastewater treatment facilities and Federally owned manufacturing facilities); to promote research and development for the use of alternative energy sources to supply heat, power, and new feedstocks for energy-intensive industries; to coordinate with appropriate Federal and State research offices; to provide a clearinghouse for industrial process and energy efficiency technical assistance resources; and to coordinate with State-accredited technical training centers and community colleges, while ensuring appropriate services to all regions of the United States.",Q4 2022 for both Notice Of Intent (NOI) and Funding Opportunity Announcement (FOA) (NOI - announce the additional IAC selections; FOA - Centers for Excellence Restricted Eligibility),https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,40521,none specified
Inland Flood Risk Management Projects,Resilience,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$2,500,000,000",,Available until expended,Direct Federal,No,The Army Corps will use this funding to construct authorized Federal flood damage reduction projects.,"This program funds the construction of projects that help to reduce the risk of damage in a flood, including $750 million for multi-purpose projects or programs that include flood risk management benefits as a purpose.",Eligible Federal projects to reduce the risk of damage from riverine flooding.,To be determined,,"Division J, Title III","In general, unless otherwise specified in law, projects are cost shared 65 percent Federal, 35 percent non-Federal."
Inland Waterways Projects,Ports and Waterways,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$2,500,000,000",,Available until expended,Direct Federal,No,"The Army Corps will use this funding to construct eligible improvements to commercial navigation projects on the inland waterways, including locks and dams.",Funds the replacement and expansion of inland waterways commercial navigation projects.,Federal commercial navigation projects on inland waterways,To be determined,,"Division J, Title III","In general, unless otherwise specified in law, projects are 100 percent Federally funded."
Intelligent Transportation Systems Program,"Roads, Bridges and Major Projects",Department of Transportation,Federal Highway Administration,"$250,000,000",,Available until expended,"Grants, Cooperative Agreements, other contracts",No,"Federal Highway Administration Research, Technology, and Education Program","The Intelligent Transportation Systems (ITS) Program fosters innovation in transportation through the deployment of technology to enhance safety and efficiency while reducing environmental impacts of surface transportation, resulting in improved access and convenience, saved lives and time, and increased productivity.","Innovative research and rapid deployment of applications and tools that facilitate a safe, connected, integrated, and automated transportation system.",To be determined,https://sam.gov/fal/cad57bdb646f4294a628ff138d61bbc0/view,11101; 11304,"80 percent Federal / 20 percent non-Federal for ITS research and development activities under 23 U.S.C. 516; otherwise, default provisions of 23 U.S.C. 120 apply"
Joint Chiefs Landscape Restoration Partnership Program,Resilience,Department of Agriculture,Forest Service,"$180,000,000",,Available until expended,Direct Federal spending.,No,,"Department of Agriculture’s Forest Service and Natural Resources Conservation Service are working together to improve the health of forests where public forests and grasslands connect to privately owned lands. Through the Joint Chiefs’ Landscape Restoration Partnership, the two Department of Agriculture agencies are restoring landscapes, reducing wildfire threats to communities and landowners, protecting water quality, and enhancing wildlife habitat.","Projects that mitigate wildfire risk, improve water quality, and restore healthy forest ecosystems on public and private lands.",Only Round of Funding Allocated / Selections Announced ,,40808,No non-Federal cost share required
Land Port of Entry Modernization,Ports and Waterways,Department of Homeland Security,U.S. Customs and Border Protection,"$330,000,000",,5 year,Direct Federal,No,"GSA, Public Buildings Service, Federal Buildings Fund which will contract out the design and construction services","For furniture, fixtures, and equipment for the land ports of entry modernized with funding provided to the General Services Administration in the Act.","Operations and Support, specifically for furniture, fixtures, and equipment for the land ports of entry modernized with funding provided to the General Services Administration in the Act.",Spend Plan with OMB,,"Division J, Title V",No non-Federal cost share required
Land Port of Entry Modernization,Ports and Waterways,Department of Homeland Security,U.S. Customs and Border Protection,"$100,000,000",,5 year,Direct Federal,No,"GSA, Public Buildings Service, Federal Buildings Fund which will contract out the design and construction services","For land port of entry construction, modernization, and sustainment.","Land Port of Entry construction, modernization and sustainment",Spend Plan with OMB,,"Division J, Title V",No non-Federal cost share required
Landscape Scale Restoration Water Quality and Fish Passage,Other,Department of Agriculture,Forest Service,"$80,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,This program improves fish and wildlife habitat connectivity and helps to recover Endangered Species Act-listed or Endangered Species Act candidate species that depend on National Forest System lands.,High priority habitats on National Forest System lands., Announced investments: https://www.usda.gov/media/press-releases/2022/08/26/biden-harris-administration-invests-65m-bipartisan-infrastructure,,40804,Varies
Lithium-Ion Recycling Prize,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$10,000,000",,Available until expended,Prize,Yes,Prize dependent,To provide a prize for recycling of lithium ion batteries and convene a task force on battery producer requirements.,"(i) To increase the number of winners of Phase III of the prize competition; (ii) to increase the amount awarded to each winner of Phase III of the competition; and (iii) to carry out any other activity that is consistent with the goals of Phase III of the competition, as determined by the Secretary.",RFI Released in Q3 2022,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,40207,Not applicable
Local and Regional Project Assistance Grants (RAISE),"Roads, Bridges and Major Projects",Department of Transportation,Office of the Secretary,"$7,500,000,000",,4 year,Competitive Grant,No,"(A) A State; (B) the District of Columbia; (C) any territory or possession of the United States; (D) a unit of local government; (E) a public agency or publicly chartered authority established by 1 or more States; (E) a special purpose district or public authority with a transportation function, including a port authority; (F) a Tribal government or a consortium of Tribal governments; (G) a partnership between Amtrak and 1 or more entities described in (A) through (F); and (H) a group of entities described in (A) through (G).",The RAISE program provides supplemental funding for grants to the State and local entities listed above on a competitive basis for projects that will have a significant local/regional impact.,"Projects eligible under RAISE include—a highway or bridge project eligible for assistance under title 23, United States Code; a public transportation project eligible for assistance under chapter 53 of title 49,United States Code; a passenger rail or freight rail transportation project eligible for assistance under title 49, United States Code; a port infrastructure investment, including inland port infrastructure and a land port-of-entry; the surface transportation components of certain eligible airport projects; a project for investment in a surface transportation facility located on Tribal land, the title or maintenance responsibility of which is vested in the Federal Government; a project to replace or rehabilitate a culvert or prevent stormwater runoff for the purpose of improving habitat for aquatic species; and any other surface transportation infrastructure project that the Secretary considers to be necessary to advance the goal of the program.",First Round of Funding Allocated / Selections Announced in Summer 2022,https://sam.gov/fal/f0fa6d30e0be4fb98f67e3250fbe30ca/view,21202,Grant can provide up to 60 percent of total project cost. Total Federal funding up to 80 percent of total project cost
Long-Duration Energy Storage Demonstration Initiative and Joint Program,Clean Energy and Power,Department of Energy,Office of Clean Energy Demonstrations,"$150,000,000",,Available until expended,"Grant, Cooperative Agreement, or Other",Yes,"Technology Developers, Industry, State and Local Governments, Tribal Organizations, Community Based Organizations, National Laboratories, Universities, and Utilities",To establish a demonstration initiative composed of demonstration projects focused on the development of long-duration energy storage technologies.,"Projects that -- (i) demonstrate promising long-duration energy storage technologies at different scales; and (ii) help new, innovative long-duration energy storage technologies become commercially viable.",FOA Open in Q4 2022,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,41001,TBD
Low Income Home Energy Assistance Program,Other,Department of Health and Human Services,Administration for Children and Families,"$500,000,000",,2022 - 2026,Grant,No,"States, Territories, Tribal Governments (Federally recognized), Tribal Governments (other than Federally recognized), Indian Housing Authorities, and Consortia Authorized to Administer the Program by Eligible Tribal Entities","The Low-Income Home Energy Assistance Program assists eligible low-income households with their heating and cooling energy costs, bill payment assistance, energy crisis assistance, weatherization and energy-related home repairs.","The Low-Income Home Energy Assistance Program provides Federally funded assistance in managing costs associated with home energy bills, energy crises, weatherization and energy-related minor home repairs.",First Round of Funding Allocated / Selections Announced in Early FY23--Allocate/Announce Second Round of Funding,https://sam.gov/fal/808947332b21456999592fc43131ff39/view,"Division J, Title VII",No non-Federal cost share required
Low or No Emission (Bus) Grants,"Electric Vehicles, Buses and Ferries",Department of Transportation,Federal Transit Administration,"$5,624,550,890",,Year of Allocation + three years,Grant,No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally recognized)","Provides capital funding to replace, rehabilitate, purchase, or lease buses and bus related equipment and to rehabilitate, purchase, construct, or lease bus-related facilities. Provides capital funding for low or no emissions bus projects.",Capital,First Round of Funding Allocated / Selections Announced in Summer 2022,https://sam.gov/fal/86b66c38678942a9b54257e30fb46fb3/view,30018,Varies
Low or No Emission Vehicle Component Assessment Program,"Electric Vehicles, Buses and Ferries",Department of Transportation,Federal Transit Administration,"$26,169,974",,To be determined,"Cooperative Agreement, Contract, Grant",No,Qualified institutions of higher education,"The Federal Transit Administration will provide funds to two qualified institutions of higher education to conduct testing, evaluation, and analysis of low or no emission components intended for use in low- and zero emission buses used to provide public transportation. The Low and No-Emission Component Assessment Program (LoNO-CAP) is intended to test items that are separately installed in and removable from a low- or no-emission transit bus.","To conduct testing, evaluation, and analysis of low- or no-emission vehicle and to conduct testing, evaluation, and analysis of low- or no-emission vehicle components, and new and emerging technology components intended for use in low- or no-emission vehicles; and to conduct directed technology research, as well as operations, maintenance, testing, and evaluation.",To be determined,https://sam.gov/fal/86b66c38678942a9b54257e30fb46fb3/view,30007,"For an eligible project for an off-system bridge (defined in 23 U.S.C. 133(f)(1)), Federal assistance other than a grant under this program may be used to satisfy the non-Federal share of the cost of a project, but the total Federal assistance provided for the project shall not exceed 90 percent of the total eligible project costs."
Maintaining and Enhancing Hydroelectricity Incentives,Clean Energy and Power,Department of Energy,Energy Efficiency and Renewable Energy,"$553,600,000",,Available until expended,Incentive Payments,Yes,Non-Federal owners of qualified hydroelectric facilities,To make incentive payments to the owners or operators of qualified hydroelectric facilities for capital improvements.,"Payments to Federal Energy Regulatory Commission (FERC)-licensed hydropower facilities for: (1) Improving grid resiliency; (2) improving dam safety to ensure acceptable performance under all loading conditions (including static, hydrologic, and seismic conditions); and (3) environmental improvements.",RFI Closed in Q3 2022,https://sam.gov/fal/3f75036824054409bfe2bcf24b45d8f2/view,40333,Not applicable
Major Rehabilitation for Rivers and Harbors,Ports and Waterways,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$1,500,000,000","Including for $250 million for Small, Remote, And Subsistence Harbors and $250 million for Federal Breakwaters and Jetties",Available until expended,Direct Federal,No,"In partnership with port authorities, the Army Corps would use this funding to construct authorized coastal navigation projects such as deepening and widening of Federal navigation channels.","Funds the construction of authorized coastal navigation projects at ports and harbors, such as deepening and widening of Federal navigation channels.",Federal commercial navigation projects on coastal harbors.,To be determined,,"Division J, Title III","In general, unless otherwise specified in law, projects 100 percent Federally funded."
"Major Shore, Housing, Aids to Navigation, Survey and Design",Ports and Waterways,Department of Homeland Security,United States Coast Guard,"$131,500,000",,5 year,Direct Federal/Contract,No,Coast Guard,"Supports Procurement, Construction, and Improvement (PC&I) projects to address shore facility infrastructure and housing construction, replacement, upgrade or improvement needs; construction and improvements to buoys and structures assisting navigation on Federal waterways; and survey and design required for future year PC&I projects.","The following are a list of Coast Guard projects:
• TRACEN Cape May - $10 million for planning, survey and design, and site work in support of recapitalization and improvement projects
• Kodiak Housing (Phase IV) - $40 million for the ongoing housing project in Kodiak to support future cutter homeport arrivals
• Ft. Wadsworth Housing (Phase II) - $5 million for safety, habitability, and quality of life upgrades to the 154 legacy housing units
• Novato Housing - $10 million for security and habitability improvements to existing housing site and initial planning, survey and design, and site work to recapitalize Coast Guard housing in Novato
• Coast Guard Academy Steam System Recap - $25 million to recapitalize the failing central steam heating system
• Family Housing for Fast Response Cutter Crew in Seward, AK - $13.5 million for the construction of new Coast Guard housing in Seward to support crew/maintenance personnel and their families
• Coast Guard Academy Chase Hall Annex D - $28 million for renovation and habitability upgrades and improvements to utility services to ensure compliance with fire and safety standards",Only Round of Funding Allocated / Selections Announced in Q4 2022,,"Division J, Title V",No non-Federal cost share required
"Major Shore, Housing, Aids to Navigation, Survey and Design",Ports and Waterways,Department of Homeland Security,United States Coast Guard,"$158,000,000",,5 year,Direct Federal/Contract,No,Coast Guard,"Supports Procurement, Construction, and Improvement (PC&I) projects to address shore facility infrastructure and housing construction, replacement, upgrade or improvement needs; construction and improvements to buoys and structures assisting navigation on Federal waterways; and survey and design required for future year PC&I projects.","The following are a list of Coast Guard projects:
• Pensacola Pier and Infrastructure - $28 million to repair wharves Bravo and Charlie at Naval Station Pensacola
• Kodiak Fuel Pier (Phase I) - $130 million to recapitalize Base Kodiak's fuel services pier and construct a transient berth.",Only Round of Funding Allocated / Selections Announced in Q4 2022,,"Division J, Title V",No non-Federal cost share required
"Major Shore, Housing, Aids to Navigation, Survey and Design",Ports and Waterways,Department of Homeland Security,United States Coast Guard,"$19,500,000",,5 year,Direct Federal/Contract,No,Coast Guard,"Supports Procurement, Construction, and Improvement (PC&I) projects to address shore facility infrastructure and housing construction, replacement, upgrade or improvement needs; construction and improvements to buoys and structures assisting navigation on Federal waterways; and survey and design required for future year PC&I projects.","The following are a list of Coast Guard projects:
• Ketchikan Maintenance Support Facility - $4 million for industrial facility improvements including 65-ton crane for Fast Response Cutter engine change-outs and Response Boat - Medium drydock services
• Station Port Angeles Covered Moorings - $9.5 million to construct covered moorings to perform boat maintenance in Port Angeles, WA
• New London City Pier Improvements - $6 million to support CGC EAGLE homeport shift from Fort Trumbull to New London, CT",Only Round of Funding Allocated / Selections Announced in Q4 2022,,"Division J, Title V",No non-Federal cost share required
"Major Shore, Housing, Aids to Navigation, Survey and Design",Ports and Waterways,Department of Homeland Security,United States Coast Guard,"$120,000,000",,5 year,Direct Federal/Contract,No,Coast Guard,"Supports Procurement, Construction, and Improvement (PC&I) projects to address shore facility infrastructure and housing construction, replacement, upgrade or improvement needs; construction and improvements to buoys and structures assisting navigation on Federal waterways; and survey and design required for future year PC&I projects.","This funding supports the construction and improvement of Coast Guard Childcare Development Centers (CDC) at Base Cape Cod, MA; Base Alameda, CA; Base Kodiak, AK; Aviation Training Center Mobile, AL; Base Astoria, OR; and Base Elizabeth City, NC.",Only Round of Funding Allocated / Selections Announced in Q4 2022,,"Division J, Title V",No non-Federal cost share required
Manufacturing Leadership (Sec 40534),Other,Department of Energy,Energy Efficiency and Renewable Energy,"$50,000,000",,Available until expended,Grant,Yes,States,To provide funding to States to provide assistance to small and medium manufacturers to invest in smart manufacturing technologies or access high-performance computing resources for manufacturing analysis.,(1) To facilitate access to high-performance computing resources for small and medium manufacturers; and (2) to provide financial assistance to small and medium manufacturers to implement smart manufacturing technologies and practices,FOA Open in Q4 2022,https://sam.gov/fal/2600c2c488614508b0e6c2622ebe2df0/view,40534,30 percent
Marine Debris,Other,Department of Commerce,National Oceanic and Atmospheric Administration,"$150,000,000",,2 years for each annual tranche,Various,No,"Non-Profit 501(C) Organizations, State and Territorial Government Agencies, Local Governments, Municipal Governments, Tribal Governments and Organizations, Educational Institutions, Or Commercial (For-Profit) Organizations",The mission of the National Oceanic and Atmospheric Administration Marine Debris Program is to investigate and prevent the adverse impacts of marine debris. The National Oceanic and Atmospheric Administration Marine Debris Program envisions the global ocean and its coasts free from the impacts of marine debris.,"Removal and cleanup of significant legacy debris such as abandoned and derelict vessels and derelict fishing gear, as well other priority debris types, that pose a threat to National Oceanic and Atmospheric Administration trust resources, the economy or navigation safety. Prevention of the re-accumulation of marine debris, as well as preventing common consumer debris from entering the marine environment. Assessment of the scope, scale, and distribution of marine debris in the environment through marine debris monitoring and detection investments.",First Round of Funding Allocated / Selections Announced in Q2 2023,https://sam.gov/fal/5d63fdce6d904e69bf0e24b36bbb08c3/view,"Division J, Title II",1:1 Federal / non-Federal
Marine Debris,Other,Department of Commerce,National Oceanic and Atmospheric Administration,"$50,000,000",,2 years for each annual tranche,Grant,No,"States, Counties, Cities / Townships, Special Districts, Tribal Governments (Federally Recognized), Tribal Governments (Other Than Federally Recognized), Public Higher-Ed Institutions, Private Higher-Ed Institutions, Nonprofits With 501(C)(3) Status, Nonprofits - Without 501(C)(3) Status, Small Businesses, Businesses (Other Than Small Businesses), And / Or Individuals",The mission of the National Oceanic and Atmospheric Administration Marine Debris Program is to investigate and prevent the adverse impacts of marine debris. The National Oceanic and Atmospheric Administration Marine Debris Program envisions the global ocean and its coasts free from the impacts of marine debris.,"Research (physical and social science, engineering, and legal) and increasing capacity and expertise through education to eliminate barriers to marine debris prevention and removal.",First Round of Funding Allocated / Selections Announced in Q2 2023,https://sam.gov/fal/0d4a1cadbbd540a89ff33d8ff15d1df6/view,"Division J, Title II",1:2 Federal / non-Federal
